"distrito","departamento","provincia","rango_edad","test_number","tamizaje_reactivo","year"
"CUISPES","AMAZONAS","BONGARA","18-29 años",1,0,"2018"
"CUISPES","AMAZONAS","BONGARA","30-59 años",1,0,"2018"
"CUISPES","AMAZONAS","BONGARA","30-59 años",0,0,"2020"
"CUISPES","AMAZONAS","BONGARA","18-29 años",9,0,"2021"
"CUISPES","AMAZONAS","BONGARA","30-59 años",8,0,"2021"
"CUISPES","AMAZONAS","BONGARA","12-17 años",1,0,"2022"
"CUISPES","AMAZONAS","BONGARA","18-29 años",4,0,"2022"
"CUISPES","AMAZONAS","BONGARA","30-59 años",3,0,"2022"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",1,0,"2011"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",3,0,"2011"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",0,0,"2011"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",1,0,"2012"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",12,0,"2012"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",7,0,"2012"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",10,0,"2013"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",64,0,"2013"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",26,0,"2013"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",13,0,"2014"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",55,0,"2014"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",34,0,"2014"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",15,0,"2015"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",67,0,"2015"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",35,0,"2015"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",26,0,"2016"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",46,0,"2016"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",34,0,"2016"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",20,0,"2017"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",74,0,"2017"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",43,0,"2017"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",25,0,"2018"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",66,0,"2018"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",32,0,"2018"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",1,0,"2019"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",2,0,"2019"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",0,0,"2021"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",19,0,"2021"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",21,0,"2021"
"FLORIDA","AMAZONAS","BONGARA","12-17 años",6,0,"2022"
"FLORIDA","AMAZONAS","BONGARA","18-29 años",40,0,"2022"
"FLORIDA","AMAZONAS","BONGARA","30-59 años",37,0,"2022"
"JAZAN","AMAZONAS","BONGARA","12-17 años",10,0,"2011"
"JAZAN","AMAZONAS","BONGARA","18-29 años",44,0,"2011"
"JAZAN","AMAZONAS","BONGARA","30-59 años",15,0,"2011"
"JAZAN","AMAZONAS","BONGARA","12-17 años",20,0,"2012"
"JAZAN","AMAZONAS","BONGARA","18-29 años",71,0,"2012"
"JAZAN","AMAZONAS","BONGARA","30-59 años",38,0,"2012"
"JAZAN","AMAZONAS","BONGARA","12-17 años",25,0,"2013"
"JAZAN","AMAZONAS","BONGARA","18-29 años",100,0,"2013"
"JAZAN","AMAZONAS","BONGARA","30-59 años",64,1,"2013"
"JAZAN","AMAZONAS","BONGARA","12-17 años",23,1,"2014"
"JAZAN","AMAZONAS","BONGARA","18-29 años",97,0,"2014"
"JAZAN","AMAZONAS","BONGARA","30-59 años",42,1,"2014"
"JAZAN","AMAZONAS","BONGARA","12-17 años",23,0,"2015"
"JAZAN","AMAZONAS","BONGARA","18-29 años",127,0,"2015"
"JAZAN","AMAZONAS","BONGARA","30-59 años",65,1,"2015"
"JAZAN","AMAZONAS","BONGARA","12-17 años",26,0,"2016"
"JAZAN","AMAZONAS","BONGARA","18-29 años",168,1,"2016"
"JAZAN","AMAZONAS","BONGARA","30-59 años",66,0,"2016"
"JAZAN","AMAZONAS","BONGARA","12-17 años",24,0,"2017"
"JAZAN","AMAZONAS","BONGARA","18-29 años",161,0,"2017"
"JAZAN","AMAZONAS","BONGARA","30-59 años",102,0,"2017"
"JAZAN","AMAZONAS","BONGARA","12-17 años",22,0,"2018"
"JAZAN","AMAZONAS","BONGARA","18-29 años",136,0,"2018"
"JAZAN","AMAZONAS","BONGARA","30-59 años",76,0,"2018"
"JAZAN","AMAZONAS","BONGARA","12-17 años",0,0,"2019"
"JAZAN","AMAZONAS","BONGARA","18-29 años",0,0,"2019"
