"","DEPARTAMENTO","PROVINCIA","DISTRITO","2014","2015","2016","2017","2018","2019","2020","2021","2022","total"
"184","ICA","CHINCHA","CHINCHA BAJA",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"185","ICA","CHINCHA","GROCIO PRADO",NA,NA,NA,1,1,2,NA,NA,NA,4
"186","ICA","CHINCHA","PUEBLO NUEVO",NA,NA,3,1,NA,3,1,NA,NA,8
"187","ICA","CHINCHA","SUNAMPE",NA,NA,NA,1,1,NA,1,NA,NA,3
"188","ICA","PISCO","PISCO",NA,NA,NA,1,3,3,NA,1,5,13
"189","ICA","PISCO","SAN CLEMENTE",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"190","ICA","PISCO","TUPAC AMARU INCA",NA,NA,NA,2,NA,NA,NA,NA,NA,2
"191","ICA","NAZCA","CHANGUILLO",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"192","ICA","PALPA","PALPA",NA,NA,1,NA,1,NA,NA,NA,NA,2
"193","JUNIN","SATIPO","COVIRIALI",NA,NA,NA,NA,NA,NA,NA,NA,2,2
"194","JUNIN","SATIPO","MAZAMARI",1,NA,1,3,NA,NA,NA,1,3,9
"195","JUNIN","SATIPO","PAMPA HERMOSA",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"196","JUNIN","SATIPO","PANGOA",NA,1,3,2,NA,NA,NA,NA,1,7
"197","JUNIN","SATIPO","RIO NEGRO",NA,NA,1,1,2,NA,NA,2,1,7
"198","JUNIN","SATIPO","RIO TAMBO",NA,NA,NA,NA,NA,NA,NA,1,3,4
"199","JUNIN","SATIPO","SATIPO",NA,NA,4,NA,1,NA,NA,7,9,21
"200","JUNIN","TARMA","TARMA",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"201","JUNIN","HUANCAYO","CHILCA",1,3,2,1,NA,2,2,1,2,14
"202","JUNIN","HUANCAYO","EL TAMBO",1,2,1,1,NA,NA,2,1,2,10
"203","JUNIN","HUANCAYO","HUANCAN",NA,NA,NA,NA,NA,NA,1,NA,1,2
"204","JUNIN","HUANCAYO","HUANCAYO",6,NA,2,3,1,NA,1,3,NA,16
"205","JUNIN","HUANCAYO","HUAYUCACHI",NA,NA,NA,NA,NA,NA,1,NA,NA,1
"206","JUNIN","HUANCAYO","PARIAHUANCA",1,2,NA,NA,NA,NA,NA,NA,NA,3
"207","JUNIN","HUANCAYO","PILCOMAYO",NA,NA,NA,NA,1,NA,NA,1,NA,2
"208","JUNIN","HUANCAYO","SAN AGUSTIN",NA,2,NA,1,NA,NA,NA,NA,NA,3
"209","JUNIN","HUANCAYO","SAN JERONIMO DE TUNAN",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"210","JUNIN","HUANCAYO","SAPALLANGA",NA,1,NA,1,NA,NA,NA,NA,NA,2
"211","JUNIN","HUANCAYO","SICAYA",NA,1,NA,NA,NA,NA,1,NA,NA,2
"212","JUNIN","CHANCHAMAYO","CHANCHAMAYO",NA,NA,NA,NA,NA,NA,1,1,1,3
"213","JUNIN","CHANCHAMAYO","PERENE",NA,NA,1,1,2,1,2,NA,1,8
"214","JUNIN","CHANCHAMAYO","PICHANAQUI",NA,1,NA,NA,NA,1,NA,1,1,4
"215","JUNIN","CHANCHAMAYO","SAN RAMON",NA,NA,NA,NA,NA,NA,NA,1,NA,1
"216","JUNIN","YAULI","LA OROYA",NA,NA,1,NA,NA,1,NA,NA,NA,2
"217","JUNIN","CONCEPCION","ANDAMARCA",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"218","JUNIN","CONCEPCION","CONCEPCION",NA,NA,2,NA,NA,NA,NA,NA,NA,2
"219","JUNIN","CONCEPCION","MATAHUASI",NA,NA,NA,1,NA,NA,1,NA,NA,2
"220","JUNIN","JAUJA","HUAMALI",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"221","JUNIN","CHUPACA","CHONGOS BAJO",NA,1,2,NA,NA,NA,NA,NA,NA,3
"222","JUNIN","CHUPACA","CHUPACA",1,NA,NA,NA,NA,NA,NA,1,NA,2
"223","JUNIN","CHUPACA","TRES DE DICIEMBRE",NA,NA,1,NA,NA,NA,NA,NA,NA,1
"224","LA LIBERTAD","ASCOPE","ASCOPE",NA,NA,NA,NA,NA,NA,NA,1,1,2
"225","LA LIBERTAD","ASCOPE","CASA GRANDE",3,NA,NA,NA,NA,NA,NA,NA,NA,3
"226","LA LIBERTAD","ASCOPE","CHICAMA",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"227","LA LIBERTAD","ASCOPE","MAGDALENA DE CAO",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"228","LA LIBERTAD","ASCOPE","PAIJAN",NA,1,1,NA,NA,1,NA,NA,NA,3
"229","LA LIBERTAD","ASCOPE","RAZURI",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"230","LA LIBERTAD","ASCOPE","SANTIAGO DE CAO",NA,NA,NA,1,NA,NA,NA,NA,NA,1
"231","LA LIBERTAD","TRUJILLO","EL PORVENIR",5,1,8,6,2,5,NA,2,5,34
"232","LA LIBERTAD","TRUJILLO","FLORENCIA DE MORA",1,NA,1,NA,3,6,3,4,3,21
"233","LA LIBERTAD","TRUJILLO","HUANCHACO",NA,6,NA,NA,2,1,2,1,1,13
"234","LA LIBERTAD","TRUJILLO","LA ESPERANZA",4,9,7,8,1,5,3,2,5,44
"235","LA LIBERTAD","TRUJILLO","LAREDO",2,1,2,NA,NA,NA,1,NA,NA,6
"236","LA LIBERTAD","TRUJILLO","MOCHE",1,NA,NA,1,NA,NA,1,NA,NA,3
"237","LA LIBERTAD","TRUJILLO","SALAVERRY",1,NA,NA,NA,2,NA,NA,NA,NA,3
"238","LA LIBERTAD","TRUJILLO","TRUJILLO",5,4,2,1,2,5,NA,6,2,27
"239","LA LIBERTAD","TRUJILLO","VICTOR LARCO HERRERA",NA,NA,NA,NA,3,1,NA,NA,2,6
"240","LA LIBERTAD","PACASMAYO","GUADALUPE",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"241","LA LIBERTAD","PACASMAYO","PACASMAYO",NA,1,NA,NA,NA,NA,NA,1,NA,2
"242","LA LIBERTAD","PACASMAYO","SAN PEDRO DE LLOC",NA,1,NA,NA,NA,NA,NA,1,NA,2
"243","LA LIBERTAD","CHEPEN","CHEPEN",NA,NA,NA,NA,NA,NA,NA,NA,1,1
"244","LA LIBERTAD","VIRU","CHAO",NA,NA,NA,NA,1,6,1,4,3,15
"245","LA LIBERTAD","VIRU","VIRU",1,NA,NA,NA,NA,NA,2,4,4,11
"246","LA LIBERTAD","PATAZ","PARCOY",1,NA,1,NA,NA,NA,NA,NA,1,3
"247","LA LIBERTAD","PATAZ","TAYABAMBA",NA,NA,1,NA,1,NA,NA,NA,NA,2
"248","LA LIBERTAD","SANCHEZ CARRION","CHUGAY",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"249","LA LIBERTAD","SANCHEZ CARRION","HUAMACHUCO",NA,2,NA,NA,NA,1,1,1,2,7
"250","LA LIBERTAD","SANCHEZ CARRION","SARIN",NA,NA,NA,NA,NA,1,NA,NA,NA,1
"251","LA LIBERTAD","OTUZCO","OTUZCO",NA,NA,NA,NA,1,NA,NA,NA,NA,1
"252","LA LIBERTAD","OTUZCO","SINSICAP",NA,1,NA,NA,NA,NA,NA,NA,NA,1
"253","LA LIBERTAD","OTUZCO","USQUIL",NA,NA,1,1,NA,NA,NA,NA,NA,2
"254","LA LIBERTAD","SANTIAGO DE CHUCO","QUIRUVILCA",NA,NA,NA,NA,NA,NA,2,1,NA,3
"255","LA LIBERTAD","SANTIAGO DE CHUCO","SANTIAGO DE CHUCO",NA,NA,NA,NA,NA,NA,NA,NA,1,1
